"","Soil_DNA_dreid_soil_irrigated_rep1_R1","Soil_DNA_dreid_soil_irrigated_rep2_R1","Soil_DNA_dreid_soil_irrigated_rep3_R1","Soil_DNA_dreid_soil_irrigated_rep4_R1","Soil_DNA_dried_soil_rainfed_rep1_R1","Soil_DNA_dried_soil_rainfed_rep2_R1","Soil_DNA_dried_soil_rainfed_rep3_R1","Soil_DNA_dried_soil_rainfed_rep4_R1","Soil_DNA_fresh_soil_irrigated_rep1_R1","Soil_DNA_fresh_soil_irrigated_rep2_R1","Soil_DNA_fresh_soil_irrigated_rep3_R1","Soil_DNA_fresh_soil_irrigated_rep4_R1","Soil_DNA_fresh_soil_rainfed_rep1_R1","Soil_DNA_fresh_soil_rainfed_rep2_R1","Soil_DNA_fresh_soil_rainfed_rep3_R1","Soil_DNA_fresh_soil_rainfed_rep4_R1","Soil_DNA_incubated_soil_irrigated_rep1_R1","Soil_DNA_incubated_soil_irrigated_rep2_R1","Soil_DNA_incubated_soil_irrigated_rep3_R1","Soil_DNA_incubated_soil_irrigated_rep4_R1","Soil_DNA_incubated_soil_rainfed_rep1_R1","Soil_DNA_incubated_soil_rainfed_rep2_R1","Soil_DNA_incubated_soil_rainfed_rep3_R1","Soil_DNA_incubated_soil_rainfed_rep4_R1","Soil_DNA_reincubated_soil_irrigated_rep1_R1","Soil_DNA_reincubated_soil_irrigated_rep2_R1","Soil_DNA_reincubated_soil_irrigated_rep3_R1","Soil_DNA_reincubated_soil_irrigated_rep4_R1","Soil_DNA_reincubated_soil_rainfed_rep1_R1","Soil_DNA_reincubated_soil_rainfed_rep2_R1","Soil_DNA_reincubated_soil_rainfed_rep3_R1","Soil_DNA_reincubated_soil_rainfed_rep4_R1","Soil_RNA_dreid_soil_irrigated_rep1_R1","Soil_RNA_dreid_soil_irrigated_rep2_R1","Soil_RNA_dreid_soil_irrigated_rep3_R1","Soil_RNA_dreid_soil_irrigated_rep4_R1","Soil_RNA_dried_soil_rainfed_rep1_R1","Soil_RNA_dried_soil_rainfed_rep2_R1","Soil_RNA_dried_soil_rainfed_rep3_R1","Soil_RNA_dried_soil_rainfed_rep4_R1","Soil_RNA_fresh_soil_irrigated_rep4_R1","Soil_RNA_fresh_soil_rainfed_rep1_R1","Soil_RNA_fresh_soil_rainfed_rep2_R1","Soil_RNA_fresh_soil_rainfed_rep4_R1","Soil_RNA_incubated_soil_irrigated_rep1_R1","Soil_RNA_incubated_soil_irrigated_rep2_R1","Soil_RNA_incubated_soil_irrigated_rep3_R1","Soil_RNA_incubated_soil_irrigated_rep4_R1","Soil_RNA_incubated_soil_rainfed_rep2_R1","Soil_RNA_reincubated_soil_irrigated_rep1_R1","Soil_RNA_reincubated_soil_irrigated_rep2_R1","Soil_RNA_reincubated_soil_irrigated_rep3_R1","Soil_RNA_reincubated_soil_irrigated_rep4_R1","Soil_RNA_reincubated_soil_rainfed_rep1_R1","Soil_RNA_reincubated_soil_rainfed_rep2_R1","Soil_RNA_reincubated_soil_rainfed_rep3_R1","Soil_RNA_reincubated_soil_rainfed_rep4_R1"
"Soil_DNA_dreid_soil_irrigated_rep1_R1",0,0.211873481589397,0.21066326113403,0.204973020915672,0.13992956233412,0.118712659080025,0.109894949970147,0.147107148020966,0.199938230371784,0.238109001723685,0.24448549020343,0.236013549747357,0.21848261635444,0.202810521719717,0.201184804273896,0.2353003506173,0.16198484940647,0.226241341847238,0.216201272474618,0.191755905938552,0.188520030963402,0.159506905726867,0.17426425121803,0.20330068559625,0.254698769368913,0.295784280030946,0.298780407807857,0.29547479134655,0.271262380109282,0.242977395696499,0.258247021862396,0.286130833621748,0.195563780964076,0.276737132118135,0.293176921511845,0.294232169426594,0.23551545620052,0.244871348775139,0.20991144121343,0.234730261594963,0.33612688292337,0.315207993679352,0.326555694500565,0.334086553549025,0.258604427081042,0.264247407753455,0.287759035455659,0.296820893778109,0.273345358597306,0.279583694520612,0.327525695337482,0.337975695405311,0.341191132658489,0.342990233115796,0.324786470898768,0.318164917167162,0.32584763959444
"Soil_DNA_dreid_soil_irrigated_rep2_R1",0.211873481589397,0,0.0815677127445535,0.0694128815793163,0.179845369235626,0.18739144360846,0.149158053287901,0.128416805370947,0.241390646954375,0.208166397830777,0.217518798261081,0.214919051099396,0.223510499142446,0.222563299243968,0.230046502025323,0.221146348579196,0.250557676035519,0.197429056602999,0.203547912528363,0.205171941499314,0.226068749737118,0.21980032766164,0.244888828287193,0.207098892347227,0.22525345362494,0.201703743409341,0.214265873295464,0.189718558008821,0.186458202983582,0.187480715372278,0.18054226523212,0.202510156951945,0.201975842586246,0.180982241938853,0.208519460731934,0.226918037222072,0.218197691352233,0.231331587530911,0.193919857412259,0.206341340128379,0.295150325117016,0.285135767040256,0.298133487514815,0.297701738433347,0.261026180805566,0.215636183916531,0.262882344702362,0.276694897139881,0.263202306531131,0.232249190697902,0.212507969263284,0.244782725949078,0.254769143830178,0.282455144436547,0.266230174672274,0.255918474781114,0.246277937940377
"Soil_DNA_dreid_soil_irrigated_rep3_R1",0.21066326113403,0.0815677127445535,0,0.0732915607329281,0.163274366476775,0.172173471837743,0.148245825623137,0.124071471253279,0.247580903286355,0.225667004099353,0.222058706059282,0.226201575531649,0.23828221475296,0.226030409734496,0.235987006654595,0.22813408574255,0.259577103973037,0.234032421057441,0.220767700209062,0.217796683253196,0.23320299923187,0.228621237918418,0.251865252809314,0.2265046334947,0.232424797727725,0.205814995504495,0.217625599222782,0.199371211110854,0.190596267957266,0.193126433489881,0.194086003367391,0.20604583999063,0.180393502385459,0.179699151451107,0.195204649835053,0.219606752020592,0.197171062586161,0.200986085073208,0.175260984015528,0.184966701781123,0.283636219582237,0.278198531994655,0.285278921582324,0.28482453903302,0.255603296206741,0.215031355217623,0.250315610571102,0.272572019561413,0.251317937268462,0.227094039498822,0.20199683781272,0.229744794825675,0.241531861526384,0.272738183333433,0.253006141596175,0.242888674967018,0.235206229139115
"Soil_DNA_dreid_soil_irrigated_rep4_R1",0.204973020915672,0.0694128815793163,0.0732915607329281,0,0.163436801715044,0.176283992402173,0.14123137281238,0.119667208262835,0.230068950000917,0.20440252041668,0.211876461619139,0.201320671710052,0.214397922570388,0.208820066166912,0.215453313549193,0.214168067320562,0.238692807532687,0.205917241792734,0.199383259840826,0.190859531694449,0.20775959079489,0.207133938649947,0.230159814810309,0.20208768913001,0.225013525604311,0.204458780677277,0.215130083263481,0.188223133361325,0.183867044434685,0.184327608167731,0.179860610163403,0.20311126577639,0.181821876946928,0.164806358806744,0.186188643870745,0.202022662620976,0.200075649358427,0.212328603570852,0.172316415317157,0.187332911823611,0.270188915586721,0.262318683698971,0.272834836658617,0.275542116355171,0.239645405143206,0.193970190503827,0.237741589593802,0.256371179082646,0.236412201541011,0.215256824673732,0.194469740511366,0.223661697982266,0.231255050052561,0.262353597774235,0.245193669720931,0.234886521915851,0.225373323091373
"Soil_DNA_dried_soil_rainfed_rep1_R1",0.13992956233412,0.179845369235626,0.163274366476775,0.163436801715044,0,0.0803290975738932,0.0923363081499971,0.0947945688242892,0.248269910832483,0.25416951204122,0.258065285841033,0.250190589319718,0.21529377844497,0.230945023824817,0.229344582776982,0.255794908275729,0.225023045221833,0.244290124001366,0.237541340418679,0.213195016381351,0.174649220125662,0.198526708633355,0.216291969552035,0.216816751652447,0.275224013516191,0.282371960739983,0.288130855432321,0.281188470153013,0.217211648189309,0.235264727453005,0.247714153085861,0.264779755594782,0.165463915203183,0.244298907640028,0.262709125499558,0.267580389683191,0.170387316040798,0.184219844377125,0.16219587511273,0.18077468051548,0.316944826775461,0.292512000374071,0.313141953174138,0.317581009972514,0.272848229200343,0.24433006484699,0.279203423647597,0.295417847349377,0.27050948684625,0.272869382052486,0.291090614033105,0.303558067664431,0.307495561975984,0.301349953907771,0.294780427588825,0.289725149205446,0.291543569254397
"Soil_DNA_dried_soil_rainfed_rep2_R1",0.118712659080025,0.18739144360846,0.172173471837743,0.176283992402173,0.0803290975738932,0,0.085702509215842,0.0953380112658434,0.229515012439097,0.241284640301432,0.246134304660654,0.23879735687358,0.224106409424279,0.205565200366431,0.208606511894764,0.235653020185936,0.209789621788485,0.231522692933006,0.220035103917791,0.204010399708676,0.215636296512313,0.180875358365724,0.208781921149946,0.208535985482873,0.256767526713128,0.269317757544407,0.275097322672334,0.270434150010629,0.250329448110715,0.222909683881989,0.239248769397995,0.258530147561486,0.160528515046598,0.259860613758576,0.271997976045985,0.279820238173448,0.186196226141089,0.181930309313218,0.16773529102119,0.184883030981364,0.330626646964492,0.318202122950696,0.323696690176969,0.328106177443764,0.276865060089132,0.258545280613107,0.290910499044741,0.304682661320965,0.281157277792719,0.279428993990095,0.300190908142625,0.315384658785268,0.320932659745102,0.328478297100168,0.309607491853953,0.306597467884405,0.303495344044183
"Soil_DNA_dried_soil_rainfed_rep3_R1",0.109894949970147,0.149158053287901,0.148245825623137,0.14123137281238,0.0923363081499971,0.085702509215842,0,0.0622489128480492,0.221670675327874,0.21935094933081,0.224200302695747,0.21635373858545,0.197129925593278,0.199789255905298,0.195147935880246,0.215261984481277,0.196178257932485,0.195226733894695,0.190377686506967,0.165586588754089,0.174750093087346,0.153900964033338,0.178821626123385,0.162683456570127,0.242373994223375,0.250645267893233,0.256398234501098,0.248905358665373,0.220582151641263,0.199639859602464,0.208729134358479,0.233769802025761,0.179765779881229,0.23476568918147,0.253067545533052,0.259883270162902,0.206906150160315,0.210841983028192,0.178288327918016,0.197785797043155,0.316910675402173,0.301659029869637,0.31226981043938,0.313320454564862,0.264351344468732,0.231935416856596,0.274222027111047,0.289345055373164,0.268460000037893,0.262462915156563,0.280723668572063,0.300065570549833,0.307001458484762,0.313022415634819,0.295612583494428,0.289318175139087,0.285004679566023
"Soil_DNA_dried_soil_rainfed_rep4_R1",0.147107148020966,0.128416805370947,0.124071471253279,0.119667208262835,0.0947945688242892,0.0953380112658434,0.0622489128480492,0,0.237049350714597,0.217254389774593,0.224427542375216,0.218101956505263,0.211966555988112,0.213509052713637,0.209083684181827,0.220652147375889,0.228162971484304,0.200967146813645,0.192161001558551,0.189507012252692,0.203167732354344,0.191054872822947,0.216200044344661,0.182779515086354,0.241453195118684,0.238873943361972,0.24619082395246,0.234429926548706,0.205446189765584,0.19415903672101,0.198416662732145,0.222137122679513,0.170920246607243,0.220555812061308,0.238353298936437,0.248618340797483,0.193974246857314,0.194644209440858,0.170444014335407,0.18149483918503,0.309755169871736,0.297753324815493,0.305988961684498,0.305175419967166,0.265544578774583,0.225281092003997,0.269180669781149,0.284295747012607,0.265002115000086,0.250426255633424,0.260388426438052,0.281479780693188,0.289443191428134,0.301732281260305,0.280732872909313,0.273778216445801,0.266280981031043
"Soil_DNA_fresh_soil_irrigated_rep1_R1",0.199938230371784,0.241390646954375,0.247580903286355,0.230068950000917,0.248269910832483,0.229515012439097,0.221670675327874,0.237049350714597,0,0.123433074955712,0.126831622462488,0.120758459437481,0.127105161409091,0.0821700876984665,0.0927273509282032,0.11943743301106,0.105961496018615,0.191650969123737,0.169893285115791,0.164457004743794,0.187506202733188,0.143623503100134,0.163566544227962,0.176550771173751,0.21076058128464,0.26905552833301,0.265098033328565,0.256783174641229,0.249506744865141,0.213588867731786,0.226713423329378,0.257896241544641,0.255187234978521,0.263061169199014,0.284158609783649,0.261179973828621,0.288305485565735,0.303900617970649,0.257210579831118,0.284664957811982,0.23058725682506,0.20837693658849,0.222053457645874,0.232093210945222,0.156728761040786,0.208598564635698,0.223264487726095,0.226728376322836,0.203298072165956,0.239802587298212,0.296290628367832,0.311617561067355,0.307495826233151,0.317102292920383,0.29421148725075,0.294243550986262,0.29691616014072
"Soil_DNA_fresh_soil_irrigated_rep2_R1",0.238109001723685,0.208166397830777,0.225667004099353,0.20440252041668,0.25416951204122,0.241284640301432,0.21935094933081,0.217254389774593,0.123433074955712,0,0.0613072988080231,0.0552532354418471,0.097205013228066,0.0979836457541214,0.0883886243801418,0.0611861743473839,0.166315652133836,0.139277979316576,0.132010974950152,0.134718982174481,0.19496702271375,0.164011861290358,0.167653184906183,0.147884581404059,0.208827858796219,0.239783405062767,0.238048486337548,0.224532418809047,0.229911228652416,0.203040295529129,0.200523306273582,0.233249477308979,0.26025684032327,0.246724975996352,0.270812839036459,0.251241763776283,0.285184770902062,0.294466799871207,0.25291504390116,0.272189989629899,0.196690341021577,0.188636763467605,0.206025202638814,0.200146114293393,0.177859794985566,0.170972997709303,0.19387518076718,0.204514662299184,0.198352946839651,0.227560883853183,0.267262587675298,0.286459674338152,0.283694913961453,0.301170734806998,0.277591098988826,0.275454727634031,0.276898160591569
