Run,isolation_source
SRR5192459,DNA-dried-rainfed-rep1
SRR5192460,DNA-dried-rainfed-rep2
SRR5192461,DNA-dried-rainfed-rep3
SRR5192462,DNA-dried-rainfed-rep4
SRR5192445,DNA-fresh-rainfed-rep1
SRR5192449,DNA-fresh-rainfed-rep2
SRR5192450,DNA-fresh-rainfed-rep3
SRR5192451,DNA-fresh-rainfed-rep4
SRR5192454,DNA-incubated-rainfed-rep1
SRR5192455,DNA-incubated-rainfed-rep2
SRR5192456,DNA-incubated-rainfed-rep3
SRR5192458,DNA-incubated-rainfed-rep4
SRR5192463,DNA-reincubated-rainfed-rep1
SRR5192464,DNA-reincubated-rainfed-rep2
SRR5192465,DNA-reincubated-rainfed-rep3
SRR5192470,DNA-reincubated-rainfed-rep4
SRR5192480,RNA-dried-rainfed-rep1
SRR5192482,RNA-dried-rainfed-rep2
SRR5192484,RNA-dried-rainfed-rep3
SRR5192486,RNA-dried-rainfed-rep4
SRR5192471,RNA-fresh-rainfed-rep1
SRR5192472,RNA-fresh-rainfed-rep2
SRR5192473,RNA-fresh-rainfed-rep3
SRR5192474,RNA-fresh-rainfed-rep4
SRR5192475,RNA-incubated-rainfed-rep1
SRR5192476,RNA-incubated-rainfed-rep2
SRR5192478,RNA-incubated-rainfed-rep3
SRR5192479,RNA-incubated-rainfed-rep4
SRR5192488,RNA-reincubated-rainfed-rep1
SRR5192491,RNA-reincubated-rainfed-rep2
SRR5192492,RNA-reincubated-rainfed-rep3
SRR5192498,RNA-reincubated-rainfed-rep4
