"","DNA_dreid_irrigated_rep1_R1","DNA_dreid_irrigated_rep2_R1","DNA_dreid_irrigated_rep3_R1","DNA_dreid_irrigated_rep4_R1","DNA_dried_rainfed_rep1_R1","DNA_dried_rainfed_rep2_R1","DNA_dried_rainfed_rep3_R1","DNA_dried_rainfed_rep4_R1","DNA_fresh_irrigated_rep1_R1","DNA_fresh_irrigated_rep4_R1","DNA_fresh_rainfed_rep1_R1","DNA_fresh_rainfed_rep3_R1","DNA_fresh_rainfed_rep4_R1","DNA_incubated_irrigated_rep1_R1","DNA_incubated_irrigated_rep2_R1","DNA_incubated_irrigated_rep3_R1","DNA_incubated_irrigated_rep4_R1","DNA_incubated_rainfed_rep1_R1","DNA_incubated_rainfed_rep2_R1","DNA_incubated_rainfed_rep4_R1","DNA_reincubated_irrigated_rep1_R1","DNA_reincubated_irrigated_rep2_R1","DNA_reincubated_irrigated_rep3_R1","DNA_reincubated_irrigated_rep4_R1","DNA_reincubated_rainfed_rep1_R1","DNA_reincubated_rainfed_rep2_R1","DNA_reincubated_rainfed_rep3_R1","DNA_reincubated_rainfed_rep4_R1"
"DNA_dreid_irrigated_rep1_R1",0,0.568438818339487,0.594784332285811,0.577202783421863,0.555397619335555,0.50108431180755,0.515890032701932,0.551809051966172,0.532123194030715,0.649043884713825,0.637039894746237,0.592519627957596,0.640058157973852,0.494480737119208,0.635731049925037,0.633886913015052,0.604378619541216,0.599925017504621,0.559141610553168,0.600677361757803,0.582493050358091,0.701571007874738,0.655360832760303,0.662816609119423,0.643820112439437,0.611324147391844,0.619778971242176,0.656651456543634
"DNA_dreid_irrigated_rep2_R1",0.568438818339487,0,0.495136823234878,0.482932411077919,0.53589917103456,0.56905875340577,0.524938417331388,0.496390481332166,0.61679262496865,0.612284846588821,0.614607489434746,0.62076709033557,0.643121059712077,0.614937762222827,0.574630590206132,0.610118087459707,0.572853613890355,0.577992270142084,0.600266848918418,0.601577858923076,0.633520203903532,0.618142461577258,0.609543006477231,0.591247000166251,0.613492494171204,0.615587279956521,0.603411427210244,0.622063476921115
"DNA_dreid_irrigated_rep3_R1",0.594784332285811,0.495136823234878,0,0.489607325639067,0.543781534460561,0.582192387519537,0.560067987080255,0.536670377472107,0.642480103415728,0.621843443439481,0.631927980104517,0.640350143208292,0.651230544398085,0.636556400895035,0.613927042035752,0.600203253997135,0.581059413068782,0.601787649284664,0.622814202326294,0.629274855578864,0.644028686484259,0.658228210839222,0.620954225972003,0.625322606996604,0.610329153883453,0.630119510714463,0.626115087251735,0.63177796227557
"DNA_dreid_irrigated_rep4_R1",0.577202783421863,0.482932411077919,0.489607325639067,0,0.544493087904174,0.561404186417228,0.514560085510893,0.510085795484662,0.625977713191934,0.61181318939551,0.633759378143397,0.621301844181533,0.64368771876668,0.628995481311346,0.616042782649264,0.621330784867428,0.568878899986688,0.594221613217425,0.599632719527583,0.627323922209235,0.632551462063483,0.641145387441028,0.61111560554898,0.588543693569726,0.611240600325882,0.621702614781756,0.591691701328106,0.629503854684065
"DNA_dried_rainfed_rep1_R1",0.555397619335555,0.53589917103456,0.543781534460561,0.544493087904174,0,0.478690937132485,0.497743835180655,0.495195200158049,0.616888735395906,0.608772457480411,0.558791748162511,0.58611862586385,0.62979739203373,0.629011686272071,0.613955915511398,0.63179931751735,0.586954462815701,0.494067847766712,0.555984288402307,0.60232338509539,0.63093831598918,0.66179433785089,0.634022394577831,0.626018842204874,0.546159188482758,0.590041264159864,0.598068359260293,0.615822435482484
"DNA_dried_rainfed_rep2_R1",0.50108431180755,0.56905875340577,0.582192387519537,0.561404186417228,0.478690937132485,0,0.456839721938338,0.494532406972592,0.579404639935443,0.621964051884353,0.587350700522906,0.559655286925328,0.605311621537501,0.571254014500035,0.629276856345377,0.611476264580574,0.58553215965025,0.557037147652516,0.470959751221233,0.582285322761887,0.615912508623808,0.693690804826529,0.645707338511194,0.651365342281384,0.603796982274029,0.549232481304725,0.613745974705528,0.639594451674238
"DNA_dried_rainfed_rep3_R1",0.515890032701932,0.524938417331388,0.560067987080255,0.514560085510893,0.497743835180655,0.456839721938338,0,0.413737553137415,0.585807874080864,0.604864880193193,0.592279109351719,0.524435409467539,0.576250692196559,0.582340083349807,0.59367512046681,0.597675392066894,0.56146256620122,0.531782679557789,0.512330007475725,0.53137020284178,0.61530154617553,0.654240528319949,0.615934572662194,0.606015985567087,0.588151347246566,0.573825181206878,0.556404113220131,0.596991070329489
"DNA_dried_rainfed_rep4_R1",0.551809051966172,0.496390481332166,0.536670377472107,0.510085795484662,0.495195200158049,0.494532406972592,0.413737553137415,0,0.601978753104294,0.611384571957739,0.596202090596235,0.552154309144266,0.581419168670066,0.598571152125576,0.574114039609457,0.597954873503933,0.561558016327163,0.529937127809053,0.552254122951681,0.514646414941899,0.608927882961715,0.641989331182083,0.609310786129223,0.595080368134168,0.589456320543657,0.576132938910069,0.551688487373154,0.577200042464547
"DNA_fresh_irrigated_rep1_R1",0.532123194030715,0.61679262496865,0.642480103415728,0.625977713191934,0.616888735395906,0.579404639935443,0.585807874080864,0.601978753104294,0,0.570344777688454,0.584295396761103,0.535890556955912,0.581515050177453,0.497855408254756,0.618404464745437,0.613498167225007,0.584217289047454,0.616061365115301,0.552066587409372,0.600926997335212,0.627473641760732,0.738390596900415,0.703232576093136,0.701284719559728,0.688309559219811,0.652844871315313,0.670202546743794,0.696105095896637
"DNA_fresh_irrigated_rep4_R1",0.649043884713825,0.612284846588821,0.621843443439481,0.61181318939551,0.608772457480411,0.621964051884353,0.604864880193193,0.611384571957739,0.570344777688454,0,0.491137778836053,0.490977682219416,0.49024317758916,0.617744804122058,0.556842442374418,0.565103423485972,0.488443709109283,0.56113910416328,0.583076256837708,0.569872487775389,0.69092305077109,0.720017324317217,0.688239410437358,0.676706356041366,0.669053586796806,0.682223636166481,0.675422310389381,0.681874680806923
