"","DNA_dreid_irrigated_rep1_R1","DNA_dreid_irrigated_rep2_R1","DNA_dreid_irrigated_rep3_R1","DNA_dreid_irrigated_rep4_R1","DNA_dried_rainfed_rep1_R1","DNA_dried_rainfed_rep2_R1","DNA_dried_rainfed_rep3_R1","DNA_dried_rainfed_rep4_R1","DNA_fresh_irrigated_rep1_R1","DNA_fresh_irrigated_rep4_R1","DNA_fresh_rainfed_rep1_R1","DNA_fresh_rainfed_rep3_R1","DNA_fresh_rainfed_rep4_R1","DNA_incubated_irrigated_rep1_R1","DNA_incubated_irrigated_rep2_R1","DNA_incubated_irrigated_rep3_R1","DNA_incubated_irrigated_rep4_R1","DNA_incubated_rainfed_rep1_R1","DNA_incubated_rainfed_rep2_R1","DNA_incubated_rainfed_rep4_R1","DNA_reincubated_irrigated_rep1_R1","DNA_reincubated_irrigated_rep2_R1","DNA_reincubated_irrigated_rep3_R1","DNA_reincubated_irrigated_rep4_R1","DNA_reincubated_rainfed_rep1_R1","DNA_reincubated_rainfed_rep2_R1","DNA_reincubated_rainfed_rep3_R1","DNA_reincubated_rainfed_rep4_R1"
"DNA_dreid_irrigated_rep1_R1",0,0.290012386809191,0.285745384533642,0.283946729895178,0.175329672102055,0.146384267044189,0.136505509726906,0.185481210904016,0.235535107457981,0.284633630219927,0.256527190509036,0.241628335051856,0.281199320589928,0.193315573188122,0.279376900342033,0.269336504701605,0.238968930219766,0.233881293753617,0.196190829078093,0.246417192187607,0.340783396762968,0.407178719948582,0.396195754892685,0.395394783689641,0.361392452071509,0.328229779987188,0.343448962873593,0.391514395669104
"DNA_dreid_irrigated_rep2_R1",0.290012386809191,0,0.121634148826244,0.105142167674892,0.256925602779661,0.273600329657786,0.210659782642691,0.190558453706336,0.32272024823134,0.283665965414175,0.278998880709737,0.303974496549771,0.295556595485558,0.331941360829676,0.255158032840698,0.272458430752692,0.26750836365112,0.279838212812099,0.279225693971308,0.263754563793799,0.329394364134143,0.303865667972785,0.315222229844776,0.279387169563797,0.268303698885832,0.274997806940818,0.261982485221576,0.302911537357175
"DNA_dreid_irrigated_rep3_R1",0.285745384533642,0.121634148826244,0,0.106166264133421,0.234878362725296,0.253991538536136,0.205808429355773,0.184092676116535,0.32698521982458,0.293998478418363,0.297932146852135,0.306187832923115,0.298535040266728,0.339826569638151,0.302553775033388,0.287283752660413,0.276051380078031,0.286126597086799,0.286733141203389,0.283701078212592,0.334074825791878,0.30788560512579,0.314173391810867,0.291545795027795,0.273372590096356,0.280674072126105,0.281579903728154,0.304983615735599
"DNA_dreid_irrigated_rep4_R1",0.283946729895178,0.105142167674892,0.106166264133421,0,0.233039522804179,0.258619686420574,0.202312844958586,0.178793768373718,0.298788622512501,0.257509937695065,0.262067335028799,0.277283310539681,0.276394669926951,0.308739662306972,0.261665507356749,0.257167007376994,0.24220865602352,0.255333328100638,0.258681756521631,0.248547362590072,0.321444631077099,0.303342748137828,0.306911101517517,0.265213746496722,0.255883949651261,0.260392814165348,0.253069456338717,0.296616537844382
"DNA_dried_rainfed_rep1_R1",0.175329672102055,0.256925602779661,0.234878362725296,0.233039522804179,0,0.10185653640474,0.120395306477206,0.119644790679162,0.301353069226748,0.303038791779651,0.254206651286275,0.281010284593949,0.309033793804985,0.28201526046505,0.307050768340707,0.300131636369401,0.269913997979694,0.208148113329554,0.247967670383338,0.268308654610892,0.379122019120472,0.403631448685445,0.396367413532488,0.389611991113576,0.295443268517579,0.328043983698062,0.341286112652281,0.373755979044177
"DNA_dried_rainfed_rep2_R1",0.146384267044189,0.273600329657786,0.253991538536136,0.258619686420574,0.10185653640474,0,0.108297492602188,0.12178928893156,0.281168469710691,0.292897690988629,0.275780139233835,0.258956451892872,0.28599258606793,0.261098634252037,0.294746896608554,0.280212051040446,0.256810231855566,0.262107456928894,0.221592236375485,0.255469909150622,0.35723213827021,0.390031199940722,0.37998317949245,0.377699860819639,0.349753573153503,0.314918794181131,0.330793734323907,0.369708029075635
"DNA_dried_rainfed_rep3_R1",0.136505509726906,0.210659782642691,0.205808429355773,0.202312844958586,0.120395306477206,0.108297492602188,0,0.0821497610146394,0.268795915709791,0.259623974089965,0.233033706543288,0.237869032342272,0.257923964652173,0.244073203828477,0.242636453529527,0.235983944302128,0.207480069063814,0.211252170698706,0.186946930063399,0.199015088910241,0.331565812955031,0.353422297300686,0.346724180474519,0.339014989652178,0.298942314391633,0.274547355262728,0.284189997965406,0.325719056894226
"DNA_dried_rainfed_rep4_R1",0.185481210904016,0.190558453706336,0.184092676116535,0.178793768373718,0.119644790679162,0.12178928893156,0.0821497610146394,0,0.303623868313585,0.27352980345161,0.261290580728335,0.269855858701244,0.278225217441174,0.293534283244574,0.258904491954638,0.25033620527917,0.24266734446197,0.249081190294259,0.238888474561899,0.22713944617609,0.342248775425204,0.350327234356401,0.34802318472039,0.33271162713054,0.289844618613113,0.280035571181653,0.282778887956932,0.324674726819797
"DNA_fresh_irrigated_rep1_R1",0.235535107457981,0.32272024823134,0.32698521982458,0.298788622512501,0.301353069226748,0.281168469710691,0.268795915709791,0.303623868313585,0,0.160556458649635,0.159652397509164,0.119108740967045,0.160131246654028,0.126323461695738,0.242243695074033,0.212542063052435,0.190687686338664,0.210912767581627,0.164651922996089,0.212569487195182,0.286451647863772,0.369075652709541,0.351648190188906,0.337611098199891,0.326528106489136,0.279393219391241,0.298410387254445,0.346212042505837
"DNA_fresh_irrigated_rep4_R1",0.284633630219927,0.283665965414175,0.293998478418363,0.257509937695065,0.303038791779651,0.292897690988629,0.259623974089965,0.27352980345161,0.160556458649635,0,0.102422397933239,0.105332909389651,0.0833603939716631,0.206004660417921,0.1853879842355,0.162192699972488,0.14790599231406,0.218424579181583,0.186022690394974,0.177090571160708,0.285687894713389,0.330014885984244,0.314490179245454,0.28720064819768,0.290889381299834,0.259994641420605,0.258091590928212,0.306082544476228
"DNA_fresh_rainfed_rep1_R1",0.256527190509036,0.278998880709737,0.297932146852135,0.262067335028799,0.254206651286275,0.275780139233835,0.233033706543288,0.261290580728335,0.159652397509164,0.102422397933239,0,0.118052463524394,0.118874901465,0.185010955129182,0.193253555599346,0.182264626591494,0.155194506698755,0.156818846341971,0.156113478089069,0.16361419466,0.303188472133877,0.345459726809437,0.333545391742008,0.313818941137224,0.277257051916013,0.268921284815359,0.273104680815356,0.31922370587892
"DNA_fresh_rainfed_rep3_R1",0.241628335051856,0.303974496549771,0.306187832923115,0.277283310539681,0.281010284593949,0.258956451892872,0.237869032342272,0.269855858701244,0.119108740967045,0.105332909389651,0.118052463524394,0,0.0911203542164775,0.163446941379169,0.20520824019597,0.180936488826462,0.156022838631636,0.195051485286269,0.153398900614003,0.174051342149835,0.287521045445284,0.352244152886406,0.331849850194784,0.321486564824844,0.313828625759081,0.269478823232187,0.275168232388825,0.325626854517458
"DNA_fresh_rainfed_rep4_R1",0.281199320589928,0.295556595485558,0.298535040266728,0.276394669926951,0.309033793804985,0.28599258606793,0.257923964652173,0.278225217441174,0.160131246654028,0.0833603939716631,0.118874901465,0.0911203542164775,0,0.197912603046788,0.196508025707776,0.173358911107867,0.161058104825567,0.222879025453644,0.180443015295236,0.169415948496115,0.277220685899544,0.328529779564135,0.307929268826554,0.298430145121607,0.305372697268579,0.257638699354257,0.260531987374661,0.302045781548533
"DNA_incubated_irrigated_rep1_R1",0.193315573188122,0.331941360829676,0.339826569638151,0.308739662306972,0.28201526046505,0.261098634252037,0.244073203828477,0.293534283244574,0.126323461695738,0.206004660417921,0.185010955129182,0.163446941379169,0.197912603046788,0,0.207600385563498,0.182136066238395,0.161475218805459,0.173192466226572,0.123576058148022,0.171245790551258,0.27460497139064,0.366860872544729,0.347426580775333,0.331428338832323,0.321569445124015,0.273374298950794,0.285027479688818,0.341533770489903
"DNA_incubated_irrigated_rep2_R1",0.279376900342033,0.255158032840698,0.302553775033388,0.261665507356749,0.307050768340707,0.294746896608554,0.242636453529527,0.258904491954638,0.242243695074033,0.1853879842355,0.193253555599346,0.20520824019597,0.196508025707776,0.207600385563498,0,0.0986213998605138,0.126261470858586,0.20281284887633,0.188711609691331,0.118817389753926,0.251191906299158,0.288935427572358,0.279723685737665,0.255419164357007,0.270109193449361,0.247190212198759,0.233998089342527,0.285222212673806
"DNA_incubated_irrigated_rep3_R1",0.269336504701605,0.272458430752692,0.287283752660413,0.257167007376994,0.300131636369401,0.280212051040446,0.235983944302128,0.25033620527917,0.212542063052435,0.162192699972488,0.182264626591494,0.180936488826462,0.173358911107867,0.182136066238395,0.0986213998605138,0,0.105244891750235,0.197164979989354,0.166762594657871,0.116405033619058,0.240864450875878,0.289378232442415,0.266965064876118,0.248031494119035,0.265153940175397,0.227813438964307,0.225230862284171,0.273562951238727
"DNA_incubated_irrigated_rep4_R1",0.238968930219766,0.26750836365112,0.276051380078031,0.24220865602352,0.269913997979694,0.256810231855566,0.207480069063814,0.24266734446197,0.190687686338664,0.14790599231406,0.155194506698755,0.156022838631636,0.161058104825567,0.161475218805459,0.126261470858586,0.105244891750235,0,0.146823810441707,0.128941884485322,0.119060390857448,0.272681856907285,0.315435920128438,0.297600517677775,0.271887161037244,0.283123844171239,0.241598653530107,0.246770143306112,0.291793361156996
"DNA_incubated_rainfed_rep1_R1",0.233881293753617,0.279838212812099,0.286126597086799,0.255333328100638,0.208148113329554,0.262107456928894,0.211252170698706,0.249081190294259,0.210912767581627,0.218424579181583,0.156818846341971,0.195051485286269,0.222879025453644,0.173192466226572,0.20281284887633,0.197164979989354,0.146823810441707,0,0.122626153021167,0.14911979045575,0.307691590957757,0.353025058577703,0.340909492157308,0.328195852073627,0.255349738100733,0.266379430172594,0.276618542965059,0.317578296933911
"DNA_incubated_rainfed_rep2_R1",0.196190829078093,0.279225693971308,0.286733141203389,0.258681756521631,0.247967670383338,0.221592236375485,0.186946930063399,0.238888474561899,0.164651922996089,0.186022690394974,0.156113478089069,0.153398900614003,0.180443015295236,0.123576058148022,0.188711609691331,0.166762594657871,0.128941884485322,0.122626153021167,0,0.125107441644367,0.282414902363242,0.339013465598705,0.322854890146155,0.308100806223506,0.29241459950839,0.239965512411396,0.257961364819853,0.311924054463658
"DNA_incubated_rainfed_rep4_R1",0.246417192187607,0.263754563793799,0.283701078212592,0.248547362590072,0.268308654610892,0.255469909150622,0.199015088910241,0.22713944617609,0.212569487195182,0.177090571160708,0.16361419466,0.174051342149835,0.169415948496115,0.171245790551258,0.118817389753926,0.116405033619058,0.119060390857448,0.14911979045575,0.125107441644367,0,0.25764244300944,0.301540163137081,0.289202583884946,0.27063221479186,0.257549424164144,0.220768931509843,0.219981588601351,0.270654481985971
"DNA_reincubated_irrigated_rep1_R1",0.340783396762968,0.329394364134143,0.334074825791878,0.321444631077099,0.379122019120472,0.35723213827021,0.331565812955031,0.342248775425204,0.286451647863772,0.285687894713389,0.303188472133877,0.287521045445284,0.277220685899544,0.27460497139064,0.251191906299158,0.240864450875878,0.272681856907285,0.307691590957757,0.282414902363242,0.25764244300944,0,0.1656628918206,0.175902680580092,0.164124286242719,0.18625745046059,0.137278247078158,0.134850213568601,0.15922208709195
"DNA_reincubated_irrigated_rep2_R1",0.407178719948582,0.303865667972785,0.30788560512579,0.303342748137828,0.403631448685445,0.390031199940722,0.353422297300686,0.350327234356401,0.369075652709541,0.330014885984244,0.345459726809437,0.352244152886406,0.328529779564135,0.366860872544729,0.288935427572358,0.289378232442415,0.315435920128438,0.353025058577703,0.339013465598705,0.301540163137081,0.1656628918206,0,0.12664493972522,0.118537369085301,0.194275691761591,0.18224179551108,0.1664042041894,0.1412716920279
"DNA_reincubated_irrigated_rep3_R1",0.396195754892685,0.315222229844776,0.314173391810867,0.306911101517517,0.396367413532488,0.37998317949245,0.346724180474519,0.34802318472039,0.351648190188906,0.314490179245454,0.333545391742008,0.331849850194784,0.307929268826554,0.347426580775333,0.279723685737665,0.266965064876118,0.297600517677775,0.340909492157308,0.322854890146155,0.289202583884946,0.175902680580092,0.12664493972522,0,0.11379809654721,0.218534409149982,0.190758151301046,0.172640166928281,0.165599370635404
