sample,raw,qc,denoising,read-merging,MSA,chimera-filter
DNA_incubated_rainfed_rep4_R1,50000,49249,0,43696 (1382 uniques),43315 (1370 uniques),43184 (1364 uniques)
DNA_dried_rainfed_rep2_R1,50000,49158,0,43730 (812 uniques),43383 (806 uniques),43044 (799 uniques)
DNA_fresh_rainfed_rep2_R1,50000,49188,0,42256 (1122 uniques),41681 (1110 uniques),41582 (1103 uniques)
DNA_incubated_irrigated_rep4_R1,50000,49138,0,43893 (1320 uniques),43487 (1306 uniques),43363 (1301 uniques)
DNA_fresh_irrigated_rep4_R1,50000,49239,0,42584 (1236 uniques),42151 (1220 uniques),41994 (1211 uniques)
DNA_incubated_rainfed_rep3_R1,50000,49175,0,44084 (1447 uniques),41766 (1380 uniques),41590 (1369 uniques)
DNA_reincubated_rainfed_rep4_R1,50000,49108,0,43541 (958 uniques),43104 (945 uniques),42819 (938 uniques)
DNA_reincubated_rainfed_rep2_R1,50000,49071,0,43670 (1126 uniques),43220 (1115 uniques),43132 (1110 uniques)
DNA_dreid_irrigated_rep2_R1,50000,49125,0,43980 (962 uniques),43302 (943 uniques),43218 (940 uniques)
DNA_dreid_irrigated_rep3_R1,50000,49309,0,44016 (973 uniques),43474 (957 uniques),43098 (951 uniques)
DNA_dreid_irrigated_rep4_R1,50000,49292,0,44208 (969 uniques),43421 (954 uniques),43234 (946 uniques)
DNA_dreid_irrigated_rep1_R1,50000,49176,0,43663 (1001 uniques),42751 (975 uniques),42571 (969 uniques)
DNA_reincubated_rainfed_rep3_R1,50000,49082,0,44104 (1185 uniques),43341 (1166 uniques),43224 (1161 uniques)
DNA_dried_rainfed_rep4_R1,50000,49276,0,44325 (896 uniques),43938 (886 uniques),43422 (877 uniques)
DNA_fresh_rainfed_rep4_R1,50000,49283,0,42885 (1342 uniques),42398 (1323 uniques),42343 (1317 uniques)
DNA_incubated_irrigated_rep2_R1,50000,49216,0,43368 (1359 uniques),42899 (1344 uniques),42735 (1336 uniques)
DNA_reincubated_irrigated_rep2_R1,50000,49041,0,43494 (930 uniques),43096 (916 uniques),42998 (911 uniques)
DNA_incubated_rainfed_rep2_R1,50000,49268,0,43344 (1236 uniques),42794 (1219 uniques),42770 (1216 uniques)
DNA_dried_rainfed_rep1_R1,50000,49265,0,44429 (843 uniques),43299 (824 uniques),42994 (819 uniques)
DNA_reincubated_irrigated_rep1_R1,50000,48942,0,43524 (1121 uniques),43170 (1109 uniques),43100 (1103 uniques)
DNA_incubated_rainfed_rep1_R1,50000,48991,0,43753 (1314 uniques),42460 (1292 uniques),42419 (1287 uniques)
DNA_reincubated_rainfed_rep1_R1,50000,49125,0,44221 (1111 uniques),43065 (1091 uniques),42975 (1083 uniques)
DNA_fresh_rainfed_rep3_R1,50000,49255,0,43118 (1250 uniques),42612 (1237 uniques),42499 (1232 uniques)
DNA_fresh_irrigated_rep1_R1,50000,49119,0,42764 (1311 uniques),42216 (1294 uniques),42095 (1285 uniques)
DNA_fresh_irrigated_rep2_R1,50000,49206,0,42092 (1218 uniques),41465 (1199 uniques),41341 (1194 uniques)
DNA_dried_rainfed_rep3_R1,50000,49121,0,44079 (953 uniques),43441 (939 uniques),43175 (932 uniques)
DNA_fresh_rainfed_rep1_R1,50000,49278,0,43350 (1394 uniques),42204 (1366 uniques),42013 (1357 uniques)
DNA_incubated_irrigated_rep3_R1,50000,49027,0,43543 (1493 uniques),43193 (1473 uniques),43142 (1467 uniques)
DNA_incubated_irrigated_rep1_R1,50000,49156,0,43364 (1386 uniques),42530 (1357 uniques),42319 (1347 uniques)
DNA_reincubated_irrigated_rep3_R1,50000,49121,0,43619 (940 uniques),43439 (933 uniques),43297 (926 uniques)
DNA_fresh_irrigated_rep3_R1,50000,49241,0,41493 (1210 uniques),41068 (1193 uniques),40903 (1186 uniques)
DNA_reincubated_irrigated_rep4_R1,50000,49060,0,43870 (1009 uniques),43607 (998 uniques),43434 (991 uniques)
DNA_reincubated_rainfed_rep3_R1_R1,0,0,44104 (1185 uniques),0,0,0
DNA_incubated_irrigated_rep1_R1_R1,0,0,43364 (1386 uniques),0,0,0
DNA_reincubated_rainfed_rep1_R1_R1,0,0,44221 (1111 uniques),0,0,0
DNA_incubated_rainfed_rep2_R1_R1,0,0,43344 (1236 uniques),0,0,0
DNA_fresh_rainfed_rep3_R1_R1,0,0,43118 (1250 uniques),0,0,0
DNA_reincubated_irrigated_rep4_R1_R1,0,0,43870 (1009 uniques),0,0,0
DNA_incubated_rainfed_rep4_R1_R1,0,0,43696 (1382 uniques),0,0,0
DNA_dreid_irrigated_rep2_R1_R1,0,0,43980 (962 uniques),0,0,0
DNA_incubated_irrigated_rep3_R1_R1,0,0,43543 (1493 uniques),0,0,0
DNA_dreid_irrigated_rep4_R1_R1,0,0,44208 (969 uniques),0,0,0
DNA_reincubated_irrigated_rep3_R1_R1,0,0,43619 (940 uniques),0,0,0
DNA_dried_rainfed_rep4_R1_R1,0,0,44325 (896 uniques),0,0,0
DNA_fresh_rainfed_rep1_R1_R1,0,0,43350 (1394 uniques),0,0,0
DNA_fresh_irrigated_rep1_R1_R1,0,0,42764 (1311 uniques),0,0,0
DNA_incubated_irrigated_rep2_R1_R1,0,0,43368 (1359 uniques),0,0,0
DNA_dried_rainfed_rep3_R1_R1,0,0,44079 (953 uniques),0,0,0
DNA_incubated_rainfed_rep3_R1_R1,0,0,44084 (1447 uniques),0,0,0
DNA_dried_rainfed_rep2_R1_R1,0,0,43730 (812 uniques),0,0,0
DNA_dreid_irrigated_rep3_R1_R1,0,0,44016 (973 uniques),0,0,0
DNA_fresh_irrigated_rep4_R1_R1,0,0,42584 (1236 uniques),0,0,0
DNA_reincubated_rainfed_rep4_R1_R1,0,0,43541 (958 uniques),0,0,0
DNA_reincubated_irrigated_rep1_R1_R1,0,0,43524 (1121 uniques),0,0,0
DNA_incubated_irrigated_rep4_R1_R1,0,0,43893 (1320 uniques),0,0,0
DNA_fresh_rainfed_rep4_R1_R1,0,0,42885 (1342 uniques),0,0,0
DNA_dried_rainfed_rep1_R1_R1,0,0,44429 (843 uniques),0,0,0
DNA_fresh_rainfed_rep2_R1_R1,0,0,42256 (1122 uniques),0,0,0
DNA_incubated_rainfed_rep1_R1_R1,0,0,43753 (1314 uniques),0,0,0
DNA_reincubated_irrigated_rep2_R1_R1,0,0,43494 (930 uniques),0,0,0
DNA_dreid_irrigated_rep1_R1_R1,0,0,43663 (1001 uniques),0,0,0
DNA_fresh_irrigated_rep2_R1_R1,0,0,42092 (1218 uniques),0,0,0
DNA_reincubated_rainfed_rep2_R1_R1,0,0,43670 (1126 uniques),0,0,0
DNA_fresh_irrigated_rep3_R1_R1,0,0,41493 (1210 uniques),0,0,0
