"","DNA_dreid_irrigated_rep1_R1","DNA_dreid_irrigated_rep2_R1","DNA_dreid_irrigated_rep3_R1","DNA_dreid_irrigated_rep4_R1","DNA_dried_rainfed_rep1_R1","DNA_dried_rainfed_rep2_R1","DNA_dried_rainfed_rep3_R1","DNA_dried_rainfed_rep4_R1","DNA_fresh_irrigated_rep1_R1","DNA_fresh_irrigated_rep2_R1","DNA_fresh_irrigated_rep3_R1","DNA_fresh_irrigated_rep4_R1","DNA_fresh_rainfed_rep1_R1","DNA_fresh_rainfed_rep2_R1","DNA_fresh_rainfed_rep3_R1","DNA_fresh_rainfed_rep4_R1","DNA_incubated_irrigated_rep1_R1","DNA_incubated_irrigated_rep2_R1","DNA_incubated_irrigated_rep3_R1","DNA_incubated_irrigated_rep4_R1","DNA_incubated_rainfed_rep1_R1","DNA_incubated_rainfed_rep2_R1","DNA_incubated_rainfed_rep3_R1","DNA_incubated_rainfed_rep4_R1","DNA_reincubated_irrigated_rep1_R1","DNA_reincubated_irrigated_rep2_R1","DNA_reincubated_irrigated_rep3_R1","DNA_reincubated_irrigated_rep4_R1","DNA_reincubated_rainfed_rep1_R1","DNA_reincubated_rainfed_rep2_R1","DNA_reincubated_rainfed_rep3_R1","DNA_reincubated_rainfed_rep4_R1","RNA_dreid_irrigated_rep1_R1","RNA_dreid_irrigated_rep2_R1","RNA_dreid_irrigated_rep3_R1","RNA_dreid_irrigated_rep4_R1","RNA_dried_rainfed_rep1_R1","RNA_dried_rainfed_rep2_R1","RNA_dried_rainfed_rep3_R1","RNA_dried_rainfed_rep4_R1","RNA_fresh_irrigated_rep4_R1","RNA_fresh_rainfed_rep1_R1","RNA_fresh_rainfed_rep2_R1","RNA_fresh_rainfed_rep4_R1","RNA_incubated_irrigated_rep1_R1","RNA_incubated_irrigated_rep2_R1","RNA_incubated_irrigated_rep3_R1","RNA_incubated_irrigated_rep4_R1","RNA_incubated_rainfed_rep2_R1","RNA_reincubated_irrigated_rep1_R1","RNA_reincubated_irrigated_rep2_R1","RNA_reincubated_irrigated_rep3_R1","RNA_reincubated_irrigated_rep4_R1","RNA_reincubated_rainfed_rep1_R1","RNA_reincubated_rainfed_rep2_R1","RNA_reincubated_rainfed_rep3_R1","RNA_reincubated_rainfed_rep4_R1"
"DNA_dreid_irrigated_rep1_R1",0,0.571401493843161,0.597156422262222,0.58213372026637,0.564166044634843,0.508629834225305,0.519571675298468,0.559964071302877,0.538047942289572,0.65634287209164,0.659754704202115,0.655036753259315,0.637519445860176,0.595753816144249,0.598645894049526,0.64621251726095,0.497124552931287,0.638449361388166,0.633742048726199,0.605989110388012,0.600435885166175,0.565883263106341,0.592296117331561,0.604958181142595,0.591149329223109,0.699502488935865,0.659501997700871,0.66599596164004,0.652335682650446,0.619373677217032,0.629595769054561,0.662035414211795,0.548177084021667,0.654291596062798,0.642626068423602,0.644749338859813,0.632760707009082,0.617873771149835,0.584077867149289,0.624401059824074,0.698969546632301,0.677550464438896,0.667785446890527,0.691906191295816,0.560420440646464,0.646841942449181,0.646025601341613,0.648972622315693,0.606601535387754,0.63561437770905,0.748471621129946,0.741807211848751,0.717447230177354,0.703379804685096,0.660806472677022,0.692754568652946,0.711110078979075
"DNA_dreid_irrigated_rep2_R1",0.571401493843161,0,0.501971137743008,0.489463841687961,0.542483890474156,0.576123067153775,0.527377658925142,0.502528875720336,0.624668946710679,0.604335505416468,0.641977620960078,0.624709746699225,0.620954137034964,0.640917833646516,0.623884317798176,0.649253191639256,0.618963221939689,0.577363063183908,0.611601451174089,0.573519902161837,0.581648809879395,0.596534536692292,0.629238327427726,0.603002211123215,0.635612728798658,0.613992275858985,0.615394810462127,0.597734347222197,0.615041355484923,0.621958674129843,0.609832676363854,0.627036127075921,0.598751999024454,0.535716477183888,0.583036231097069,0.583065814712444,0.604432511835054,0.634063488886742,0.576201575528815,0.581474906518125,0.659755063640066,0.662190604410333,0.675166957490131,0.665053221386345,0.638915608705157,0.566001246709902,0.611541405255298,0.604365530489776,0.607318077846737,0.643597835713563,0.678773467008365,0.677934355131075,0.657070958562988,0.647208092456586,0.624336990951094,0.6722496381693,0.652474410001958
"DNA_dreid_irrigated_rep3_R1",0.597156422262222,0.501971137743008,0,0.500590543516289,0.552405185311807,0.589272541430783,0.561538540755649,0.542820828106761,0.649624928995978,0.648447673544902,0.62364006242138,0.630957109784707,0.638483311991937,0.649424522555334,0.644932642132915,0.657933467605297,0.63623301506193,0.616710218131883,0.604683660927411,0.586790571460319,0.605790820908794,0.623286863188355,0.644126995436712,0.629667436941407,0.65508107152086,0.658535544367513,0.629010220464911,0.632123251707077,0.616808327345258,0.635263804742052,0.634746873259255,0.640048090338211,0.624180528358926,0.63424553339178,0.594433576982507,0.610630209303683,0.63248899963226,0.661698218843035,0.618721674618942,0.629009184190841,0.67071127224326,0.669074643018898,0.681141431864529,0.684984735752958,0.663442387230989,0.61593346110238,0.616096021807503,0.630608758208658,0.637770966017959,0.680941704999324,0.707165900956906,0.692600632786099,0.686091108663353,0.663779850969659,0.660001170781936,0.692344410179294,0.678046785413402
"DNA_dreid_irrigated_rep4_R1",0.58213372026637,0.489463841687961,0.500590543516289,0,0.550308604547029,0.567534689969887,0.517691507736852,0.507724505651166,0.628904639903246,0.635870276213783,0.644588570532173,0.618132709827576,0.629923278497761,0.637300990201456,0.620434670055369,0.641035522092198,0.626716435818552,0.616398011484533,0.622840843618393,0.568803880078739,0.587936983855658,0.594050412634859,0.62133121372672,0.627941496099851,0.635067884633902,0.632940051499488,0.613485280343416,0.586185224875592,0.612225994907493,0.620215783460425,0.595757791669413,0.626807037992105,0.585694141315418,0.591313216536887,0.570089436829539,0.556704320884535,0.606993697793293,0.629829546150888,0.568065557341721,0.593499807243752,0.659418870661208,0.670219499439486,0.67015323388639,0.669931880278685,0.631074969424566,0.597657746259974,0.608514712779221,0.579580309752929,0.614588676049426,0.653786312591946,0.691718324264004,0.675665021855312,0.654568884577962,0.644670064159737,0.631962478286041,0.662737079542205,0.652690182989274
"DNA_dried_rainfed_rep1_R1",0.564166044634843,0.542483890474156,0.552405185311807,0.550308604547029,0,0.490528243769222,0.506987966858896,0.50455230162298,0.62784312830886,0.627624314396251,0.63624063921284,0.622829711580974,0.568186444353971,0.597873908117726,0.598692945493498,0.637894805793457,0.631336541990047,0.620234423191003,0.638811624120349,0.594015466877413,0.500630623109719,0.559450556433213,0.603896229121454,0.607330137712254,0.642563623134294,0.662637925036627,0.642695881971131,0.631794778959781,0.551730320671633,0.5981849508306,0.613416622720949,0.624928434064147,0.590491506211017,0.61870013827255,0.597308694435322,0.579810575262718,0.499024329319304,0.579192290730796,0.54340246424197,0.568868140607951,0.655580319689279,0.610255270426459,0.635459531198092,0.657838661942358,0.606862169754633,0.60689635169784,0.615623665857304,0.600152201433355,0.57163657132284,0.644321260480373,0.706464814168602,0.693829081529147,0.665193216100389,0.605913343455562,0.60934543365864,0.651679339244244,0.663139877621032
"DNA_dried_rainfed_rep2_R1",0.508629834225305,0.576123067153775,0.589272541430783,0.567534689969887,0.490528243769222,0,0.468108338033435,0.507940525413445,0.593346498774969,0.641300720341599,0.635937250640431,0.635958016069017,0.600112547273916,0.51778975395189,0.57155695877047,0.61426474215349,0.579015849734918,0.641554001751394,0.620004299671227,0.596096106858396,0.56220327635731,0.485297188477284,0.589750791223659,0.5927344921883,0.627998371175682,0.690771716313389,0.658137906248019,0.656726002025269,0.615753538922683,0.562147258280982,0.623727751215191,0.648177056581509,0.571883368382854,0.641410642867986,0.624958822076806,0.612960112885257,0.589222996659857,0.55383221587303,0.552595956553639,0.601602800991824,0.667867252211861,0.642210782634111,0.609397907296323,0.650679814787358,0.600959789145058,0.635529666447328,0.626682979618131,0.629729445478848,0.554094521891092,0.65903511844936,0.728051402266196,0.720887349366038,0.697844610189805,0.659507010577142,0.614931981021405,0.680303874694795,0.683011859361752
"DNA_dried_rainfed_rep3_R1",0.519571675298468,0.527377658925142,0.561538540755649,0.517691507736852,0.506987966858896,0.468108338033435,0,0.422153498927609,0.59156865310408,0.624160433476206,0.616488274708979,0.613831234640627,0.597816579648987,0.555034043136223,0.527209213834078,0.583496138367584,0.585786504540283,0.601801102161931,0.601734533206346,0.567321467056449,0.529783830999483,0.522168633060112,0.531643439569688,0.542549851947524,0.625209217333478,0.655869533550337,0.624423386288373,0.609759995951179,0.594685407639901,0.579811473549484,0.564663008246877,0.60214826081534,0.579293415523412,0.625494191272246,0.609002329746088,0.602440345217694,0.591856608019596,0.60592547797229,0.512575011162541,0.557853460589095,0.656638633797184,0.635981963929126,0.648566980317423,0.641151688924246,0.60700438841675,0.607892986167231,0.622718586167878,0.611776233537484,0.564053120622171,0.652535005510649,0.71689854753419,0.707107401213859,0.680908320555179,0.655081843511357,0.629601412530141,0.656408132757672,0.656809743244774
"DNA_dried_rainfed_rep4_R1",0.559964071302877,0.502528875720336,0.542820828106761,0.507724505651166,0.50455230162298,0.507940525413445,0.422153498927609,0,0.608637086049027,0.621757803181296,0.626817724968582,0.62256388436422,0.606625804112815,0.595063727313951,0.554540635200297,0.587093201625597,0.600390159892502,0.582719875695516,0.602627846302544,0.565017479225803,0.531724447671615,0.56089689590321,0.569405239186764,0.525932560124638,0.618137351038641,0.640342410028814,0.616148950063334,0.601095165359672,0.594954618977885,0.581462974681497,0.561283208367335,0.583949523077602,0.599571410440282,0.609822199962303,0.607128367120478,0.606630681762871,0.584177115321412,0.624790146668441,0.54309964050577,0.553576543108588,0.658864339556309,0.653168093478954,0.665580541568304,0.649708310275158,0.633265833970512,0.590774251964533,0.616155657374162,0.610408951664523,0.585537464676956,0.647046211628546,0.701391839969822,0.696549169216441,0.665470313094182,0.646866777450583,0.617714387404707,0.651757506589506,0.641841145435003
"DNA_fresh_irrigated_rep1_R1",0.538047942289572,0.624668946710679,0.649624928995978,0.628904639903246,0.62784312830886,0.593346498774969,0.59156865310408,0.608637086049027,0,0.589755663680522,0.601881677133935,0.579988745375149,0.586573893672365,0.532478855496232,0.541628368915031,0.578111729220531,0.499859467443837,0.624550482169215,0.611029457740989,0.586783061796439,0.614843358791765,0.555966533503828,0.583912965305193,0.606570518841085,0.634016658090304,0.735775243438359,0.712983985584131,0.70690378089323,0.689903686872725,0.656753144796726,0.677417951662187,0.702814969742031,0.626039073457651,0.713018063859238,0.709377421262004,0.691141778744649,0.70355654496654,0.697569800234023,0.665530858818542,0.694624060603507,0.675624961832697,0.651345185064287,0.64936836707113,0.677426749863235,0.591395963790391,0.662030084993169,0.664369147132504,0.659059377492507,0.637437407854949,0.715927795365434,0.78847304782178,0.782622848842541,0.76774809294264,0.752609210217528,0.715879718181772,0.750563949902231,0.747380161978604
"DNA_fresh_irrigated_rep2_R1",0.65634287209164,0.604335505416468,0.648447673544902,0.635870276213783,0.627624314396251,0.641300720341599,0.624160433476206,0.621757803181296,0.589755663680522,0,0.482669860251891,0.469737114812818,0.526188944763914,0.58594226232149,0.540851527727276,0.510239015157484,0.630901096145653,0.517810456491667,0.565863842391975,0.526405826069979,0.579842805612114,0.611787890900678,0.599538836262632,0.573499272310359,0.697923975110008,0.713757595695611,0.699094103450997,0.691825305100006,0.68399031819014,0.691874906287647,0.687398803987559,0.697762273382825,0.704684763628068,0.696299582684282,0.703347294666876,0.685916202334706,0.71126692902712,0.72310230184542,0.682971633512798,0.695475859475661,0.616075573277812,0.625145369177389,0.67560032010463,0.630038633778143,0.679485395458838,0.606509516305043,0.635020789670028,0.631925269064863,0.66401400883025,0.734532813177341,0.768987568830595,0.765565699417953,0.749985171173839,0.73400081827024,0.722669316879239,0.748075252305215,0.735930295842964
