"","DNA_dreid_irrigated_rep1_R1","DNA_dreid_irrigated_rep2_R1","DNA_dreid_irrigated_rep3_R1","DNA_dreid_irrigated_rep4_R1","DNA_dried_rainfed_rep1_R1","DNA_dried_rainfed_rep2_R1","DNA_dried_rainfed_rep3_R1","DNA_dried_rainfed_rep4_R1","DNA_fresh_irrigated_rep1_R1","DNA_fresh_irrigated_rep2_R1","DNA_fresh_irrigated_rep3_R1","DNA_fresh_irrigated_rep4_R1","DNA_fresh_rainfed_rep1_R1","DNA_fresh_rainfed_rep2_R1","DNA_fresh_rainfed_rep3_R1","DNA_fresh_rainfed_rep4_R1","DNA_incubated_irrigated_rep1_R1","DNA_incubated_irrigated_rep2_R1","DNA_incubated_irrigated_rep3_R1","DNA_incubated_irrigated_rep4_R1","DNA_incubated_rainfed_rep1_R1","DNA_incubated_rainfed_rep2_R1","DNA_incubated_rainfed_rep3_R1","DNA_incubated_rainfed_rep4_R1","DNA_reincubated_irrigated_rep1_R1","DNA_reincubated_irrigated_rep2_R1","DNA_reincubated_irrigated_rep3_R1","DNA_reincubated_irrigated_rep4_R1","DNA_reincubated_rainfed_rep1_R1","DNA_reincubated_rainfed_rep2_R1","DNA_reincubated_rainfed_rep3_R1","DNA_reincubated_rainfed_rep4_R1","RNA_dreid_irrigated_rep1_R1","RNA_dreid_irrigated_rep2_R1","RNA_dreid_irrigated_rep3_R1","RNA_dreid_irrigated_rep4_R1","RNA_dried_rainfed_rep1_R1","RNA_dried_rainfed_rep2_R1","RNA_dried_rainfed_rep3_R1","RNA_dried_rainfed_rep4_R1","RNA_fresh_irrigated_rep4_R1","RNA_fresh_rainfed_rep1_R1","RNA_fresh_rainfed_rep2_R1","RNA_fresh_rainfed_rep4_R1","RNA_incubated_irrigated_rep1_R1","RNA_incubated_irrigated_rep2_R1","RNA_incubated_irrigated_rep3_R1","RNA_incubated_irrigated_rep4_R1","RNA_incubated_rainfed_rep2_R1","RNA_reincubated_irrigated_rep1_R1","RNA_reincubated_irrigated_rep2_R1","RNA_reincubated_irrigated_rep3_R1","RNA_reincubated_irrigated_rep4_R1","RNA_reincubated_rainfed_rep1_R1","RNA_reincubated_rainfed_rep2_R1","RNA_reincubated_rainfed_rep3_R1","RNA_reincubated_rainfed_rep4_R1"
"DNA_dreid_irrigated_rep1_R1",0,0.252501006447388,0.252030383368915,0.249351376199615,0.163367182463802,0.135446715452244,0.128925338726227,0.174813249663691,0.219047043501431,0.273525179924122,0.277792760105335,0.270609074520304,0.247165261107342,0.226087356964746,0.229186667688184,0.268545374773266,0.179796978293076,0.261459922422114,0.252115969859627,0.221711078930642,0.213724699582859,0.18033291379007,0.199450790942118,0.232791762896685,0.299136671423528,0.358277426416415,0.360075005067185,0.355325866090328,0.318704757728895,0.284769565082923,0.3037868435127,0.341542535851966,0.237357022298636,0.342373871602824,0.362424833752456,0.358754766157924,0.288508006853848,0.296432708563059,0.258497235836471,0.291481575747833,0.406689365660397,0.373011837978042,0.392990970132263,0.40012225064795,0.307595565162113,0.31650620632369,0.352962683077321,0.372174654533064,0.327516863682096,0.346201979422842,0.409890868127167,0.422875478837821,0.426661193275921,0.413402865813923,0.399714497970178,0.392082964790178,0.404566643875081
"DNA_dreid_irrigated_rep2_R1",0.252501006447388,0,0.100098119853497,0.0880449548809746,0.210273058496812,0.2237523120927,0.178177307832,0.15378434422334,0.296542060649463,0.253095495822653,0.265205910328706,0.260534426178408,0.262418788956995,0.273576714385669,0.279198591155458,0.27069071906983,0.299291944499271,0.233403024118146,0.245813385933344,0.238742848150147,0.254995941069248,0.257340344556557,0.28377026404759,0.244499748307313,0.276048770070508,0.250204046672997,0.270079661912812,0.238852455279642,0.229230402672772,0.23450937685066,0.224005441034533,0.254239510422486,0.250079782983032,0.230339179551109,0.259183446258516,0.286184544762746,0.271262471170176,0.290248954229225,0.24132272068415,0.25953583796158,0.372299450038428,0.352563865334321,0.377626899947724,0.373606245288809,0.330111978698425,0.27064987596985,0.34265017301689,0.366575910404601,0.333172635302159,0.296264120932566,0.276762403354855,0.312998493454481,0.324554252547446,0.341063468112979,0.332430573801365,0.320544301815785,0.307790119625062
"DNA_dreid_irrigated_rep3_R1",0.252030383368915,0.100098119853497,0,0.0913875975274348,0.196769752403237,0.208848553337625,0.177761065129695,0.15276479860413,0.302174665281455,0.273412734949481,0.268622509608132,0.272673816557523,0.279154349453864,0.274293977752847,0.283663984746218,0.277637310938868,0.30808577702256,0.274827172485083,0.262576301108824,0.25222414782523,0.262751076188485,0.265589949100051,0.288901911801334,0.262832902161656,0.28076410838945,0.251050816807502,0.272284981632083,0.250105169871682,0.230678395218291,0.236391331472356,0.237341447699209,0.253381892835908,0.22301232879047,0.231978553587571,0.242399409152505,0.279949992382757,0.245442970278449,0.255573474456204,0.221411674989165,0.232543579180486,0.3599121415854,0.345938867823626,0.363506972035985,0.358780455769299,0.326194587747158,0.272648489620693,0.328663363618462,0.363029964880615,0.320607046170584,0.292812375693373,0.261639531408115,0.292496259907172,0.308581766717927,0.326622685033154,0.318336284054285,0.305854908321947,0.294211454499915
"DNA_dreid_irrigated_rep4_R1",0.249351376199615,0.0880449548809746,0.0913875975274348,0,0.193558683726774,0.211743631348151,0.172176603941167,0.14869679626254,0.281813946799521,0.245343868775276,0.252184408653887,0.242095730113177,0.25015934287399,0.25433462678785,0.25943342289798,0.258225242125957,0.28921577545998,0.246322032281311,0.239764130228513,0.221294519937676,0.23725205456796,0.2436659190562,0.266239306488331,0.240045613626328,0.276344969935936,0.252694664959594,0.266394602493702,0.230966920529909,0.225685936226259,0.226289558273758,0.218344558464318,0.249812021255975,0.220558411085598,0.206915573325365,0.228216451628364,0.251050676945974,0.244154476855762,0.260194516580943,0.210457168918666,0.231807397324489,0.336651182288831,0.319904499182826,0.341610070496499,0.341428081009367,0.300002629531051,0.243462955501247,0.309164805501648,0.337515522217021,0.296460995052054,0.272999313920799,0.25118155020503,0.283674913224505,0.291574463069386,0.312272768277369,0.302371480170756,0.290340450718959,0.278592295747024
"DNA_dried_rainfed_rep1_R1",0.163367182463802,0.210273058496812,0.196769752403237,0.193558683726774,0,0.0919641325372798,0.106851207828798,0.111421022259017,0.281776693705345,0.292494965166379,0.294460920062208,0.286376173586621,0.241365027254302,0.262320308404576,0.26310709509467,0.293505610638966,0.263711512171211,0.281091905225694,0.276671350361909,0.244984596160518,0.192667047883542,0.229569499597377,0.247685415322378,0.249467555980559,0.320703249036097,0.334963021157053,0.344230274720395,0.335262857772186,0.246248356036163,0.273110257546434,0.28971740612256,0.306934913412152,0.196971468015697,0.297081440315424,0.315601485783106,0.324038123540316,0.208117996411683,0.222111301105815,0.198793650766854,0.224119634662769,0.382788936926493,0.345676670105035,0.380296986951681,0.381230414637108,0.329791643637903,0.295649175935939,0.346827098836138,0.374122894098706,0.326546430012087,0.335864380151938,0.360772479574988,0.3754168095636,0.379560390009454,0.352341345633463,0.354372749797227,0.350221595934752,0.35445685186608
"DNA_dried_rainfed_rep2_R1",0.135446715452244,0.2237523120927,0.208848553337625,0.211743631348151,0.0919641325372798,0,0.0972907770236093,0.110751878353959,0.260933436938005,0.279976658693571,0.282629320790725,0.275923575589132,0.255568570963569,0.23191453761813,0.239448275618487,0.271991812272261,0.242981768216265,0.271436968782304,0.257987620530128,0.235953869628304,0.238118860318079,0.204977965015982,0.238920740585495,0.241936496630533,0.30374067662268,0.328784472085172,0.33575813713381,0.329230730525814,0.289799760978481,0.263128358943277,0.285390527018943,0.306289520133507,0.196499357665525,0.317602116993754,0.328830231530431,0.340883137404618,0.23411717327947,0.225638847738958,0.210270925619956,0.234050863587974,0.402475703883921,0.379242392105065,0.39474484690555,0.397873312478678,0.334689113995886,0.314317429103905,0.362600090833423,0.385751617163854,0.340499986907398,0.346732294181237,0.377108800014229,0.393243216727431,0.398757466098453,0.387905984619716,0.375106491378785,0.373326130331076,0.37211968219695
"DNA_dried_rainfed_rep3_R1",0.128925338726227,0.178177307832,0.177761065129695,0.172176603941167,0.106851207828798,0.0972907770236093,0,0.0754207412032149,0.24989219304039,0.251900529982275,0.254940933680879,0.247732614178499,0.222934728181358,0.225398990617321,0.221702599652762,0.245562853555583,0.228765234033081,0.22781530847519,0.2239200958981,0.193571527051961,0.195212804538842,0.179081381499891,0.204126028064117,0.188630425762161,0.282129533024343,0.30119100723435,0.307298489284828,0.297233426182343,0.256142099275441,0.231970478493434,0.243222765894699,0.276074811896308,0.215043681303627,0.288013627090317,0.308939492576768,0.314367734714659,0.252631335127299,0.252599287633141,0.216817906374776,0.244094865538596,0.384295408527228,0.357180174148255,0.379198363546841,0.37674103899046,0.317665030111641,0.282955061232887,0.340542384643978,0.364815646693098,0.323270471570097,0.322547277657284,0.351882692477342,0.374989365665982,0.381419037549709,0.372282751772753,0.35960862683766,0.353979279412488,0.351644943940218
"DNA_dried_rainfed_rep4_R1",0.174813249663691,0.15378434422334,0.15276479860413,0.14869679626254,0.111421022259017,0.110751878353959,0.0754207412032149,0,0.282388504023233,0.256952305436866,0.262666148892964,0.256918142102542,0.248240170119342,0.254143071738719,0.250100056164027,0.259241910217281,0.272273448686698,0.238790110267231,0.232466721010946,0.22382054906144,0.23147771110394,0.225707160131199,0.250052624834524,0.214222175215566,0.288376424454436,0.291288703346742,0.301749985292281,0.286846502057935,0.241449666381963,0.231620137116231,0.237292896179961,0.264918573351723,0.205446397932248,0.275149669432232,0.292077806505275,0.30833146201125,0.239601332110312,0.236839544830145,0.208735697587297,0.225580964681633,0.382173639947018,0.360077774143107,0.379706404511201,0.373500613071132,0.328147777614688,0.281152523997123,0.342043393203292,0.366732701775511,0.326409526083724,0.313666115211972,0.329618132404788,0.354671725121238,0.363626060032209,0.359668459987375,0.343991837217171,0.337742830525477,0.329575958065073
"DNA_fresh_irrigated_rep1_R1",0.219047043501431,0.296542060649463,0.302174665281455,0.281813946799521,0.281776693705345,0.260933436938005,0.24989219304039,0.282388504023233,0,0.165357279533156,0.169767191154538,0.161880073343415,0.159521144710309,0.110200425986336,0.120365855865798,0.160344751139949,0.12240390283812,0.230001649650421,0.20679788487025,0.185548504361731,0.203252862808818,0.157102753245964,0.18351249488653,0.203593919311231,0.27803279921031,0.35023279367165,0.347237277804597,0.335345736901456,0.31761412027302,0.276448223627166,0.293070293106414,0.335086249825818,0.315915187403964,0.343997477893114,0.368635580113056,0.346292304169992,0.357480127888238,0.378116398489128,0.320319179071689,0.357277917416055,0.319179095160107,0.286735950199038,0.309008841685821,0.31619835788151,0.211909345176608,0.274475090188589,0.305346397707673,0.314669602815919,0.278286940853354,0.326411382631394,0.395765508996073,0.415329836641851,0.413549765175875,0.406790175982457,0.390588121231906,0.386304144005816,0.39185199384713
"DNA_fresh_irrigated_rep2_R1",0.273525179924122,0.253095495822653,0.273412734949481,0.245343868775276,0.292494965166379,0.279976658693571,0.251900529982275,0.256952305436866,0.165357279533156,0,0.0795674876314042,0.0731201657824262,0.119438907506036,0.128656030324484,0.111652238536455,0.0818438543692073,0.205860435414353,0.16344584571486,0.158265267525106,0.147774083374956,0.213643533036618,0.188380936262389,0.19131810403361,0.171979545436622,0.2751619092889,0.311346361580121,0.307951112395166,0.287135073318391,0.291673640114191,0.260768749571682,0.257190284131719,0.301069129952144,0.315069324584884,0.309549449660781,0.338771910942597,0.321167744105936,0.340924283232735,0.352984629721991,0.303900391504644,0.330263142127148,0.265773838982786,0.25007145820059,0.27891821614956,0.266039480127722,0.232531063764678,0.219537880877755,0.258787841081105,0.277427537460131,0.261679272797052,0.300824653905482,0.349677904256279,0.372580634840884,0.37168389070413,0.376244671654305,0.359634528661413,0.352717947381605,0.354385325398029
