sample,raw,qc,denoising,read-merging,MSA,chimera-filter
RNA_reincubated_rainfed_rep4_R1,50000,48684,0,44384 (617 uniques),44021 (612 uniques),43094 (599 uniques)
RNA_incubated_rainfed_rep4_R1,50000,48931,0,41241 (648 uniques),40861 (640 uniques),39960 (629 uniques)
RNA_incubated_rainfed_rep3_R1,50000,48769,0,41040 (654 uniques),40364 (645 uniques),40182 (643 uniques)
DNA_incubated_rainfed_rep4_R1,50000,49249,0,43696 (1382 uniques),43315 (1370 uniques),43184 (1364 uniques)
RNA_incubated_irrigated_rep2_R1,50000,48812,0,41321 (705 uniques),40945 (696 uniques),40817 (693 uniques)
RNA_incubated_rainfed_rep1_R1,50000,48964,0,41502 (578 uniques),39661 (549 uniques),39037 (540 uniques)
DNA_dried_rainfed_rep2_R1,50000,49158,0,43730 (812 uniques),43383 (806 uniques),43044 (799 uniques)
RNA_incubated_irrigated_rep3_R1,50000,48982,0,41633 (806 uniques),41407 (797 uniques),41259 (794 uniques)
DNA_fresh_rainfed_rep2_R1,50000,49188,0,42256 (1122 uniques),41681 (1110 uniques),41582 (1103 uniques)
DNA_incubated_irrigated_rep4_R1,50000,49138,0,43893 (1320 uniques),43487 (1306 uniques),43363 (1301 uniques)
RNA_reincubated_irrigated_rep1_R1,50000,48306,0,43468 (674 uniques),43055 (660 uniques),42867 (654 uniques)
DNA_fresh_irrigated_rep4_R1,50000,49239,0,42584 (1236 uniques),42151 (1220 uniques),41994 (1211 uniques)
RNA_dreid_irrigated_rep1_R1,50000,48229,0,43428 (690 uniques),43342 (686 uniques),42788 (677 uniques)
RNA_fresh_rainfed_rep1_R1,50000,48785,0,42442 (791 uniques),41117 (768 uniques),40951 (763 uniques)
DNA_incubated_rainfed_rep3_R1,50000,49175,0,44084 (1447 uniques),41766 (1380 uniques),41590 (1369 uniques)
DNA_reincubated_rainfed_rep4_R1,50000,49108,0,43541 (958 uniques),43104 (945 uniques),42819 (938 uniques)
DNA_reincubated_rainfed_rep2_R1,50000,49071,0,43670 (1126 uniques),43220 (1115 uniques),43132 (1110 uniques)
DNA_dreid_irrigated_rep2_R1,50000,49125,0,43980 (962 uniques),43302 (943 uniques),43218 (940 uniques)
RNA_fresh_irrigated_rep3_R1,50000,48737,0,40182 (677 uniques),40155 (675 uniques),39954 (671 uniques)
DNA_dreid_irrigated_rep3_R1,50000,49309,0,44016 (973 uniques),43474 (957 uniques),43098 (951 uniques)
RNA_dried_rainfed_rep4_R1,50000,48502,0,43574 (589 uniques),43144 (582 uniques),41541 (565 uniques)
DNA_dreid_irrigated_rep4_R1,50000,49292,0,44208 (969 uniques),43421 (954 uniques),43234 (946 uniques)
DNA_dreid_irrigated_rep1_R1,50000,49176,0,43663 (1001 uniques),42751 (975 uniques),42571 (969 uniques)
RNA_incubated_irrigated_rep1_R1,50000,48923,0,41196 (729 uniques),40834 (719 uniques),40742 (712 uniques)
RNA_reincubated_rainfed_rep3_R1,50000,48379,0,43971 (591 uniques),42426 (565 uniques),40813 (541 uniques)
