"","RNA_dreid_irrigated_rep1_R1","RNA_dreid_irrigated_rep3_R1","RNA_dreid_irrigated_rep4_R1","RNA_dried_rainfed_rep1_R1","RNA_dried_rainfed_rep2_R1","RNA_dried_rainfed_rep3_R1","RNA_dried_rainfed_rep4_R1","RNA_fresh_irrigated_rep1_R1","RNA_fresh_irrigated_rep2_R1","RNA_fresh_irrigated_rep3_R1","RNA_fresh_irrigated_rep4_R1","RNA_fresh_rainfed_rep1_R1","RNA_fresh_rainfed_rep2_R1","RNA_fresh_rainfed_rep3_R1","RNA_fresh_rainfed_rep4_R1","RNA_incubated_irrigated_rep1_R1","RNA_incubated_irrigated_rep2_R1","RNA_incubated_irrigated_rep3_R1","RNA_incubated_irrigated_rep4_R1","RNA_incubated_rainfed_rep2_R1","RNA_reincubated_irrigated_rep1_R1","RNA_reincubated_irrigated_rep2_R1","RNA_reincubated_irrigated_rep3_R1","RNA_reincubated_irrigated_rep4_R1","RNA_reincubated_rainfed_rep1_R1","RNA_reincubated_rainfed_rep2_R1","RNA_reincubated_rainfed_rep3_R1","RNA_reincubated_rainfed_rep4_R1"
"RNA_dreid_irrigated_rep1_R1",0,0.167512407647379,0.164312398042088,0.094767746159506,0.0642425511971524,0.0761616120863183,0.0938338685046069,0.169825799401734,0.193337544777973,0.2026751600617,0.194286894267188,0.188317623630647,0.189178483781308,0.18113098150614,0.19053898606932,0.171639601441465,0.166541854282199,0.181091763864052,0.191676665825999,0.174376902288883,0.149404085375204,0.173188723644241,0.192053020355005,0.197442303592824,0.255201379729803,0.203707862916984,0.184555588615246,0.200806219659688
"RNA_dreid_irrigated_rep3_R1",0.167512407647379,0,0.0631632776067713,0.13629262421929,0.169278999213702,0.131236353912794,0.107210492725498,0.209864870032102,0.203946159213705,0.1982038030013,0.191551372947034,0.185369063615939,0.179959889590604,0.202103546975653,0.212169839100881,0.214409762922127,0.164541215111684,0.185780216165749,0.201870154634787,0.162268986272078,0.172231309359979,0.140645353542352,0.116667152301453,0.115369282540099,0.170277965260441,0.111327794670399,0.11092975814335,0.117827352907786
"RNA_dreid_irrigated_rep4_R1",0.164312398042088,0.0631632776067713,0,0.134256445953938,0.171594727058135,0.125800445251661,0.110869301766158,0.189039022181616,0.186865692679067,0.186568474162721,0.176029041438983,0.160904009191106,0.165120885225048,0.184143855741381,0.197091403153457,0.191644258425583,0.142345787023379,0.162994032778982,0.170832003725473,0.137574940873672,0.168288151151554,0.149928647429062,0.132818524226249,0.106441285166999,0.168652624082497,0.107689100038193,0.103814914318654,0.123313005877309
"RNA_dried_rainfed_rep1_R1",0.094767746159506,0.13629262421929,0.134256445953938,0,0.0935871538215609,0.0624969225062705,0.0584823724625984,0.206944071102618,0.209837030053548,0.212319653455833,0.212504196164625,0.158651724426316,0.196300195554221,0.205028855344046,0.214666123958656,0.205983768000856,0.175310602080257,0.201109232345852,0.215468015556265,0.161739775607635,0.188553381156599,0.176172660648768,0.17193187648929,0.172310291265126,0.186692564737004,0.158939851815679,0.146286318449515,0.165917465077647
"RNA_dried_rainfed_rep2_R1",0.0642425511971524,0.169278999213702,0.171594727058135,0.0935871538215609,0,0.0854927890527154,0.0950788835286734,0.191354798893729,0.198237115430905,0.205169857739186,0.197921178851629,0.194664007299971,0.188017317756889,0.186069620356454,0.195352505727468,0.19997276174057,0.178698613463515,0.193407679817932,0.205687502287574,0.183521441780736,0.163325718090962,0.164212602056294,0.181412140172296,0.185848312184693,0.244285138493307,0.190121534816391,0.174032161847231,0.188001519497563
"RNA_dried_rainfed_rep3_R1",0.0761616120863183,0.131236353912794,0.125800445251661,0.0624969225062705,0.0854927890527154,0,0.05058083140835,0.181750178047145,0.186871731643606,0.191979254730266,0.188650290453091,0.159017275871206,0.175163904443193,0.177607757755265,0.191698834032085,0.173231023005579,0.140818950058309,0.170607346649837,0.187808061877125,0.134670074048632,0.160431830450713,0.153194291118072,0.16061644762249,0.162127746147649,0.212041971822861,0.165888304367328,0.141266495378456,0.160970377825114
"RNA_dried_rainfed_rep4_R1",0.0938338685046069,0.107210492725498,0.110869301766158,0.0584823724625984,0.0950788835286734,0.05058083140835,0,0.199474616792846,0.195018237134298,0.198767290939666,0.198677003015382,0.172139433922802,0.187618427686113,0.191539392665368,0.201823315520443,0.202714586493874,0.159330964887785,0.189082759311001,0.203490339491279,0.153918255412357,0.170349292103179,0.157726463679203,0.143482050238612,0.145162641697489,0.192560821771291,0.139951768037851,0.119592257230005,0.136171283234935
"RNA_fresh_irrigated_rep1_R1",0.169825799401734,0.209864870032102,0.189039022181616,0.206944071102618,0.191354798893729,0.181750178047145,0.199474616792846,0,0.106164991341847,0.112909935944845,0.0995226649884834,0.106267237358216,0.0976844203737858,0.085381174685388,0.100231882816335,0.0956966266872031,0.141680922801575,0.123326083838759,0.120961823107173,0.122140508756558,0.138339204707597,0.185986096459669,0.203183490714185,0.198632841709317,0.252929403874903,0.207258515731553,0.187709165864588,0.209432863192099
"RNA_fresh_irrigated_rep2_R1",0.193337544777973,0.203946159213705,0.186865692679067,0.209837030053548,0.198237115430905,0.186871731643606,0.195018237134298,0.106164991341847,0,0.0582021010958108,0.0595755199006329,0.100850544959062,0.0941913116902861,0.0717748402871808,0.0592778674322649,0.154923492614587,0.128583588090207,0.127215228241483,0.133844690240866,0.140026483743332,0.160539306392,0.163783070342576,0.175382224203002,0.167955856583791,0.242546855946577,0.195322819687496,0.171846236027268,0.189468346561087
"RNA_fresh_irrigated_rep3_R1",0.2026751600617,0.1982038030013,0.186568474162721,0.212319653455833,0.205169857739186,0.191979254730266,0.198767290939666,0.112909935944845,0.0582021010958108,0,0.0548344391436975,0.101728995519898,0.0847996451532714,0.0773608281008266,0.0631400504342654,0.168105897166106,0.148060279611742,0.138902008159654,0.148098255021401,0.143865593967697,0.168804835093307,0.173025610318051,0.170574874758045,0.164934341910524,0.244606865348946,0.19422030060367,0.174195734156587,0.189608148867964
